Date,semiconductor_shipments,industrial_production,global_trade_volume,crude_oil_prices,interest_rate,gdp_growth,m2_money_supply,personal_computing_sales,consumer_sentiment
2022-08-31,103.1531,102.2805,11263.243289,90.09,2.33,2.8,21221.2,99.223,70.5
2022-09-02,103.1531,102.2805,11263.243289,87.29,2.33,2.8,21221.2,99.223,70.5
2022-09-05,103.1531,102.2805,11263.243289,87.29,2.33,2.8,21221.2,99.223,70.5
2022-09-06,103.1531,102.2805,11263.243289,87.35,2.33,2.8,21221.2,99.223,70.5
2022-09-07,103.1531,102.2805,11263.243289,82.5,2.33,2.8,21221.2,99.223,70.5
2022-09-08,103.1531,102.2805,11263.243289,84.04,2.33,2.8,21221.2,99.223,70.5
2022-09-09,103.1531,102.2805,11263.243289,87.27,2.33,2.8,21221.2,99.223,70.5
2022-09-12,103.1531,102.2805,11263.243289,88.18,2.33,2.8,21221.2,99.223,70.5
2022-09-13,103.1531,102.2805,11263.243289,87.84,2.33,2.8,21221.2,99.223,70.5
2022-09-14,103.1531,102.2805,11263.243289,88.88,2.33,2.8,21221.2,99.223,70.5
2022-09-15,103.1531,102.2805,11263.243289,85.72,2.33,2.8,21221.2,99.223,70.5
2022-09-16,103.1531,102.2805,11263.243289,85.57,2.33,2.8,21221.2,99.223,70.5
2022-09-19,103.1531,102.2805,11263.243289,86.15,2.33,2.8,21221.2,99.223,70.5
2022-09-20,103.1531,102.2805,11263.243289,84.69,2.33,2.8,21221.2,99.223,70.5
2022-09-21,103.1531,102.2805,11263.243289,83.38,2.33,2.8,21221.2,99.223,70.5
2022-09-22,103.1531,102.2805,11263.243289,84.02,3.08,2.8,21221.2,99.223,70.5
2022-09-23,103.1531,102.2805,11263.243289,79.07,3.08,2.8,21221.2,99.223,70.5
2022-09-26,103.1531,102.2805,11263.243289,77.17,3.08,2.8,21221.2,99.223,70.5
2022-09-27,103.1531,102.2805,11263.243289,78.91,3.08,2.8,21221.2,99.223,70.5
2022-09-28,103.1531,102.2805,11263.243289,82.61,3.08,2.8,21221.2,99.223,70.5
2022-09-29,103.1531,102.2805,11263.243289,81.78,3.08,2.8,21221.2,99.223,70.5
2022-09-30,103.1531,102.2805,11263.243289,79.91,3.08,2.8,21221.2,99.223,70.5
2022-10-03,103.1531,102.2805,11263.243289,84.05,3.08,2.8,21221.2,99.223,70.5
2022-10-04,103.1531,102.2805,11263.243289,86.87,3.08,2.8,21221.2,99.223,70.5
2022-10-05,103.1531,102.2805,11263.243289,88.22,3.08,2.8,21221.2,99.223,70.5
2022-10-06,103.1531,102.2805,11263.243289,88.9,3.08,2.8,21221.2,99.223,70.5
2022-10-07,103.1531,102.2805,11263.243289,93.07,3.08,2.8,21221.2,99.223,70.5
2022-10-10,103.1531,102.2805,11263.243289,91.6,3.08,2.8,21221.2,99.223,70.5
2022-10-11,103.1531,102.2805,11263.243289,89.75,3.08,2.8,21221.2,99.223,70.5
2022-10-12,103.1531,102.2805,11263.243289,87.83,3.08,2.8,21221.2,99.223,70.5
2022-10-13,103.1531,102.2805,11263.243289,89.59,3.08,2.8,21221.2,99.223,70.5
2022-10-14,103.1531,102.2805,11263.243289,86.1,3.08,2.8,21221.2,99.223,70.5
2022-10-17,103.1531,102.2805,11263.243289,86.0,3.08,2.8,21221.2,99.223,70.5
2022-10-18,103.1531,102.2805,11263.243289,83.29,3.08,2.8,21221.2,99.223,70.5
2022-10-19,103.1531,102.2805,11263.243289,86.0,3.08,2.8,21221.2,99.223,70.5
2022-10-20,103.1531,102.2805,11263.243289,86.02,3.08,2.8,21221.2,99.223,70.5
2022-10-21,103.1531,102.2805,11263.243289,85.47,3.08,2.8,21221.2,99.223,70.5
2022-10-24,103.1531,102.2805,11263.243289,86.12,3.08,2.8,21221.2,99.223,70.5
2022-10-25,103.1531,102.2805,11263.243289,86.93,3.08,2.8,21221.2,99.223,70.5
2022-10-26,103.1531,102.2805,11263.243289,89.39,3.08,2.8,21221.2,99.223,70.5
2022-10-27,103.1531,102.2805,11263.243289,89.06,3.08,2.8,21221.2,99.223,70.5
2022-10-28,103.1531,102.2805,11263.243289,87.85,3.08,2.8,21221.2,99.223,70.5
2022-10-31,103.1531,102.2805,11263.243289,86.54,3.08,2.8,21221.2,99.223,70.5
2022-11-02,103.1531,102.2805,11263.243289,90.06,3.08,2.8,21221.2,99.223,70.5
2022-11-03,103.1531,102.2805,11263.243289,88.14,3.83,2.8,21221.2,99.223,70.5
2022-11-04,103.1531,102.2805,11263.243289,92.58,3.83,2.8,21221.2,99.223,70.5
2022-11-07,103.1531,102.2805,11263.243289,91.8,3.83,2.8,21221.2,99.223,70.5
2022-11-08,103.1531,102.2805,11263.243289,88.8,3.83,2.8,21221.2,99.223,70.5
2022-11-09,103.1531,102.2805,11263.243289,85.79,3.83,2.8,21221.2,99.223,70.5
2022-11-10,103.1531,102.2805,11263.243289,86.52,3.83,2.8,21221.2,99.223,70.5
2022-11-11,103.1531,102.2805,11263.243289,89.14,3.83,2.8,21221.2,99.223,70.5
2022-11-14,103.1531,102.2805,11263.243289,85.85,3.83,2.8,21221.2,99.223,70.5
2022-11-15,103.1531,102.2805,11263.243289,86.87,3.83,2.8,21221.2,99.223,70.5
2022-11-16,103.1531,102.2805,11263.243289,85.62,3.83,2.8,21221.2,99.223,70.5
2022-11-17,103.1531,102.2805,11263.243289,81.69,3.83,2.8,21221.2,99.223,70.5
2022-11-18,103.1531,102.2805,11263.243289,80.07,3.83,2.8,21221.2,99.223,70.5
2022-11-21,103.1531,102.2805,11263.243289,79.74,3.83,2.8,21221.2,99.223,70.5
2022-11-22,103.1531,102.2805,11263.243289,80.83,3.83,2.8,21221.2,99.223,70.5
2022-11-23,103.1531,102.2805,11263.243289,77.93,3.83,2.8,21221.2,99.223,70.5
2022-11-24,103.1531,102.2805,11263.243289,77.93,3.83,2.8,21221.2,99.223,70.5
2022-11-25,103.1531,102.2805,11263.243289,76.45,3.83,2.8,21221.2,99.223,70.5
2022-11-28,103.1531,102.2805,11263.243289,77.1,3.83,2.8,21221.2,99.223,70.5
2022-11-29,103.1531,102.2805,11263.243289,77.96,3.83,2.8,21221.2,99.223,70.5
2022-11-30,103.1531,102.2805,11263.243289,80.48,3.83,2.8,21221.2,99.223,70.5
2022-12-02,103.1531,102.2805,11263.243289,79.86,3.83,2.8,21221.2,99.223,70.5
2022-12-05,103.1531,102.2805,11263.243289,76.83,3.83,2.8,21221.2,99.223,70.5
2022-12-06,103.1531,102.2805,11263.243289,74.21,3.83,2.8,21221.2,99.223,70.5
2022-12-07,103.1531,102.2805,11263.243289,71.93,3.83,2.8,21221.2,99.223,70.5
2022-12-08,103.1531,102.2805,11263.243289,71.3,3.83,2.8,21221.2,99.223,70.5
2022-12-09,103.1531,102.2805,11263.243289,71.05,3.83,2.8,21221.2,99.223,70.5
2022-12-12,103.1531,102.2805,11263.243289,72.96,3.83,2.8,21221.2,99.223,70.5
2022-12-13,103.1531,102.2805,11263.243289,75.44,3.83,2.8,21221.2,99.223,70.5
2022-12-14,103.1531,102.2805,11263.243289,77.14,3.83,2.8,21221.2,99.223,70.5
2022-12-15,103.1531,102.2805,11263.243289,75.89,4.33,2.8,21221.2,99.223,70.5
2022-12-16,103.1531,102.2805,11263.243289,74.19,4.33,2.8,21221.2,99.223,70.5
2022-12-19,103.1531,102.2805,11263.243289,75.05,4.33,2.8,21221.2,99.223,70.5
2022-12-20,103.1531,102.2805,11263.243289,75.92,4.33,2.8,21221.2,99.223,70.5
2022-12-21,103.1531,102.2805,11263.243289,78.17,4.33,2.8,21221.2,99.223,70.5
2022-12-22,103.1531,102.2805,11263.243289,77.68,4.33,2.8,21221.2,99.223,70.5
2022-12-23,103.1531,102.2805,11263.243289,79.57,4.33,2.8,21221.2,99.223,70.5
2022-12-26,103.1531,102.2805,11263.243289,79.57,4.33,2.8,21221.2,99.223,70.5
2022-12-27,103.1531,102.2805,11263.243289,79.45,4.33,2.8,21221.2,99.223,70.5
2022-12-28,103.1531,102.2805,11263.243289,78.89,4.33,2.8,21221.2,99.223,70.5
2022-12-29,103.1531,102.2805,11263.243289,78.43,4.33,2.8,21221.2,99.223,70.5
