level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,consumer_sentiment_mom,m2_money_supply_mom,industrial_production_mom,daily_sentiment_score
40,40,2022-04-27,173.907958984375,0.02668688620543397,180.60821830029218,180.97159881591796,199.58264821370443,180.27367460199304,0.027147686588471717,24.961720421520184,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,18.181818181818183
41,41,2022-04-28,184.91908264160156,0.061392150362787584,181.7631014999953,179.97800903320314,198.92456919352213,181.11829424555822,0.03542744469351311,38.48243584718249,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
42,42,2022-04-29,175.1623992919922,-0.054204798712732545,174.3161519325351,178.636962890625,197.78064727783203,180.03540425400075,0.03784449417371131,34.70683872580376,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
43,43,2022-05-02,176.7852020263672,0.009221908198990162,176.167929195631,177.69713745117187,196.41238810221355,179.444458394431,0.03813456341867944,37.10331976454831,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,8.333333333333332
44,44,2022-05-03,177.5717010498047,0.004439029171465834,178.9157450650594,176.39989776611327,195.23893127441406,179.10395705904438,0.037033128152461896,38.16037265469255,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,7.142857142857142
45,45,2022-05-04,184.6602325439453,0.039143078726223336,179.6922874654721,176.32523040771486,194.1527531941732,180.11418896538999,0.03890702578982635,43.2346729252648,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,-10.0
46,46,2022-05-05,171.53848266601562,-0.07370992549465945,168.7409030840277,175.83441009521485,192.86480458577475,178.554969638231,0.042850352075630954,39.6365897407191,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,0.0
47,47,2022-05-06,168.94996643066406,-0.015205015691363457,165.98314344008782,175.66217498779298,191.39532826741535,176.80860541867335,0.04179148210480906,39.540793363681395,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,13.636363636363637
48,48,2022-05-09,162.87693786621094,-0.03660768121824326,166.6800505562681,174.5700241088867,189.82131601969402,174.27557495458927,0.042581282797282766,33.55038800760828,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,0.0
49,49,2022-05-10,166.41123962402344,0.021467138675313854,164.76853604095226,174.2783203125,188.2240732828776,172.84569580357729,0.04280626197985629,38.48661028567708,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,16.666666666666664
50,50,2022-05-11,160.55723571777344,-0.035811584089708304,156.2364027046473,172.94324798583983,186.23224945068358,170.61143033343112,0.04275751825655767,39.992484736422796,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,7.142857142857142
51,51,2022-05-12,159.7109832763672,-0.005284660548268439,162.82715201710752,170.4224380493164,184.4229482014974,168.6295308685104,0.03528145360563376,42.639395742755404,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,0.0
52,52,2022-05-13,166.17230224609375,0.03965938809544022,164.01189287664667,169.52342834472657,182.9159713745117,168.18276202807098,0.03606767323681972,45.09854264643607,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,20.0
53,53,2022-05-16,163.39462280273438,-0.01685694168048822,166.5904425795212,168.1843704223633,181.318728129069,167.31219125982796,0.03584563439409467,46.10152078263925,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,16.666666666666664
54,54,2022-05-17,163.00634765625,-0.0023791309755198256,162.10038463094097,166.72783508300782,179.48951466878256,166.52931060463195,0.035649657405343024,42.42004233626949,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,10.0
55,55,2022-05-18,156.6346435546875,-0.03987316042443016,154.54390223652675,163.92527618408204,177.7369613647461,164.73028023191478,0.03252159644190537,28.977350440436453,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,0.0
56,56,2022-05-19,154.9122772216797,-0.011056979001819277,158.03843039860402,162.26265563964844,176.23628997802734,162.94518877550837,0.02555605457190015,32.90754781232501,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,12.5
