level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,vix_mom,cpi_mom,industrial_production_mom,personal_consumption_mom,housing_starts_mom,retail_sales_mom,sp500_mom
63,63,2022-05-31,365.1272277832031,-0.00556815919051075,366.9832778445792,353.6660583496094,363.1728200276693,356.980959766538,0.019653837586419597,58.929045891854145,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
64,64,2022-06-01,362.06915283203125,-0.008410638610769912,361.98260974523066,353.79107666015625,362.1303680419922,357.9060857784458,0.019014280457047165,61.25488544466665,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
65,65,2022-06-02,368.9450988769531,0.018812625935250273,364.5790881905694,356.03273010253906,361.3270517985026,359.91317906908347,0.01326242939288272,65.1235843080105,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
66,66,2022-06-03,362.9731140136719,-0.016319083996082836,366.71401875677515,357.90895385742186,360.5189270019531,360.46953087719044,0.014588919765797877,55.61429805297669,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
67,67,2022-06-06,363.9636535644531,0.0027252443624200475,360.7804969471338,359.8755706787109,360.0961120605469,361.1048259112382,0.014514450399208349,57.236228711955,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
68,68,2022-06-07,367.5218200683594,0.009728681419772527,365.91581777649174,361.54502868652344,359.7233042399088,362.27155212162387,0.013864921286399625,54.99355000643408,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
69,69,2022-06-08,363.50201416015625,-0.010997853249442854,361.8191364290414,363.0654266357422,359.57745056152345,362.49527249226605,0.014268432580558522,64.92972491249168,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
70,70,2022-06-09,354.95281982421875,-0.023799959236968128,349.01926287451886,363.44048461914065,359.11488850911456,361.123917461712,0.016670165329038738,58.51508122894768,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
71,71,2022-06-10,344.5378723144531,-0.029780860178812697,335.728935738335,362.0758758544922,357.9971048990885,358.1082728894831,0.01782906365920477,50.16374168351479,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
72,72,2022-06-13,331.2571716308594,-0.039308991288315866,333.09396323779214,358.48499450683596,356.89951680501304,353.2262544788242,0.017901893649839892,37.79240122321179,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
73,73,2022-06-14,330.4301452636719,-0.0024997510961100038,333.52673699802665,355.0152862548828,355.6980692545573,349.0815073487965,0.01801777673753164,38.61237436064402,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
74,74,2022-06-15,335.16156005859375,0.014217408226124705,327.42975329844273,352.32452697753905,354.6014434814453,346.5506078414869,0.019589793994146662,40.0095794725588,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
75,75,2022-06-16,324.15045166015625,-0.03340491941466803,324.38122061641474,347.8450622558594,352.76561279296874,342.47785217215403,0.01866866808723183,29.81637262638182,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
76,76,2022-06-17,324.9967041015625,0.0026072760645692366,330.0358626190528,344.04742126464845,351.40196329752604,339.29946161386465,0.019239147352833736,22.320394444540156,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
77,77,2022-06-21,332.9593505859375,0.02420537116440352,328.9684267633564,340.9469909667969,350.38034871419273,338.1467141542415,0.02195552659370662,30.408808924009207,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
78,78,2022-06-22,332.2573547363281,-0.0021105787169264207,334.3057537421004,337.42054443359376,349.7264139811198,337.0759215328027,0.02114336891006406,31.3072790154678,0.49999999999999994,-0.10000000000000009,0.0,-7.209999999999997,0.8986577274175289,0.061708959169082256,0.435011261132523,-15.754923413566734,-0.32751821402312586,0.005324388360872234
