level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,pharmaceutical_prices_mom,consumer_sentiment_mom,m2_money_supply_mom,daily_sentiment_score
114,114,2022-08-12,628.7100219726562,0.00767999780064343,628.7000122070312,613.5860107421875,602.0696736653646,617.4488190790074,0.024838685120180625,65.73969170295187,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
115,115,2022-08-15,643.2899780273438,0.02292546324380525,641.52001953125,620.2470092773438,603.666005452474,622.1472116150685,0.02452391572571755,71.46393067344539,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,
116,116,2022-08-16,648.7000122070312,0.008374779744133093,640.8400268554688,627.6210083007812,605.4040059407552,626.9749935408798,0.024066391911595205,71.4760400306017,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
117,117,2022-08-17,636.3400268554688,-0.019237325141551496,636.1099853515625,630.3780090332032,606.7853393554688,628.6777268708051,0.019938097751247327,68.19011217556412,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
118,118,2022-08-18,624.8300170898438,-0.018253413806260107,620.9400024414062,631.3650085449219,607.3646728515625,627.9781432742667,0.021027546603520963,63.55070774431328,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,
119,119,2022-08-19,618.3599853515625,-0.010408851649922281,616.3499755859375,631.8400085449218,607.2576721191406,626.2293872883205,0.02134983591796165,62.973109036161745,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
120,120,2022-08-22,612.0999755859375,-0.010175160467677523,610.530029296875,629.9870056152344,607.17900390625,623.6604033424326,0.019362952904687168,61.24226760506654,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
121,121,2022-08-23,602.530029296875,-0.015758122691861713,600.1799926757812,628.0250061035156,606.9270039876302,619.8185171523312,0.01950959809348354,47.78629458331168,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,
122,122,2022-08-24,602.7899780273438,0.00043133563355698853,605.9199829101562,624.1550048828125,606.9526692708333,616.7224191296061,0.01564956546772881,45.492906425943566,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,
123,123,2022-08-25,603.7999877929688,0.0016741561427503187,603.7999877929688,622.1450012207031,607.1173360188802,614.3728861593085,0.013799781796521953,46.35776056445907,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,
