level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,consumer_spending_mom,retail_sales_mom,import_prices_mom,consumer_sentiment_mom,crude_oil_prices_mom,global_trade_volume_mom,daily_sentiment_score
52,52,2022-05-13,109.32318878173828,0.046271493271807074,109.29415947533093,111.9883041381836,120.76724421183268,111.03248346330801,0.03139774189468807,34.24107657195982,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,40.909090909090914
53,53,2022-05-16,108.92655181884766,-0.0036347113033671267,111.73195215402029,110.68428039550781,120.09266001383463,110.64958680067885,0.03064997988135108,40.18831132414119,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0
54,54,2022-05-17,112.11890411376953,0.02888613344777672,108.82981016501522,110.01098709106445,119.49804712931315,110.91673540305896,0.03258899584927209,43.782022460353495,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,23.076923076923077
55,55,2022-05-18,105.80192565917969,-0.05799123182672818,105.39562272551686,108.39643630981445,118.75864893595377,109.9867699950809,0.03429176559593102,29.752627887261923,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-15.0
56,56,2022-05-19,102.96751403808594,-0.027155179403151992,105.12477145693803,107.21720428466797,118.05181884765625,108.71054163926362,0.030680594196066214,29.362554715663947,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-12.5
57,57,2022-05-20,104.47663116455078,0.014549880384569922,103.96392226556095,106.58937759399414,117.36240208943686,107.94073973477037,0.030288796913120336,29.648827828161956,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,9.090909090909092
58,58,2022-05-23,105.08607482910156,0.005816353437332274,103.61566690807456,106.33979415893555,116.73296305338542,107.4217097519215,0.029308854727550904,32.99069096234868,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,15.0
59,59,2022-05-24,103.789794921875,-0.012412123534330684,100.08473642835655,106.12697219848633,116.16253382364908,106.76136160100396,0.029166341543036326,26.51992743542965,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,4.166666666666666
60,60,2022-05-25,104.67009735107422,0.008445822862134529,106.41137445829544,106.15405731201172,115.61951319376628,106.38113173738036,0.028981492987170808,34.40957643455069,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-3.846153846153846
61,61,2022-05-26,109.25546264648438,0.042875360123947874,110.49371051179524,106.6416145324707,115.15033569335938,106.90373735721744,0.03195459838968042,47.72393423273141,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-15.0
62,62,2022-05-27,112.20596313476562,0.026647304978509957,113.666692354756,106.92989196777344,114.58700052897136,107.86777840768073,0.029626489675562903,57.06680869838563,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-25.0
63,63,2022-05-31,114.97264862060547,0.02435812294859438,115.92069643064622,107.53450164794921,114.17489751180013,109.15957299184886,0.030286758850407693,63.38670755589765,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-20.0
64,64,2022-06-01,114.80821228027344,-0.001431245124223843,115.61113474875937,107.80343246459961,113.58254013061523,110.18659831701696,0.02917165083968019,66.03097708866692,,,,,,,,,,0.0
65,65,2022-06-02,119.38390350341797,0.03908136347207529,116.57640694457947,109.16163024902343,113.18075714111328,111.85883562363531,0.022162893003146836,70.26391854725065,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,11.538461538461538
66,66,2022-06-03,117.29403686523438,-0.017660462587760363,117.8274106693618,110.59428253173829,112.72253214518229,112.84705403119877,0.020431107828292022,61.6641773531493,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,33.33333333333333
67,67,2022-06-06,116.5958023071289,-0.005970645281832967,115.07326021122333,111.80619964599609,112.44708353678385,113.52864462682241,0.021274280808146175,61.124637229504685,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-7.142857142857142
68,68,2022-06-07,117.99227142333984,0.011905853436452136,117.24553607435364,113.09681930541993,112.25462188720704,114.34021313528012,0.0211972274103659,58.98789011768036,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,18.75
69,69,2022-06-08,118.7001953125,0.005981821135616288,117.68192799993551,114.58785934448242,112.3250228881836,115.13293716750192,0.01962323220271924,73.8285597339819,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-3.8461538461538463
70,70,2022-06-09,115.01505279541016,-0.03153793337339693,113.55071959786184,115.62235488891602,112.2493682861328,115.1115036453034,0.02427278012967516,71.57861508881683,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-7.6923076923076925
71,71,2022-06-10,111.2620620727539,-0.033174675375661176,107.05324636407693,115.82301483154296,111.86126556396485,114.41160517756713,0.02454010018998846,61.24930559841985,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,31.25
