Date,vehicle_sales,industrial_production,consumer_spending,retail_sales_vehicles,crude_oil_prices,interest_rate,gdp_growth,unemployment_rate,consumer_sentiment
2023-10-11,16.244,102.2805,19935.205,128281.0,83.7,5.33,2.8,4.1,70.5
2023-10-12,16.244,102.2805,19935.205,128281.0,82.87,5.33,2.8,4.1,70.5
2023-10-13,16.244,102.2805,19935.205,128281.0,87.67,5.33,2.8,4.1,70.5
2023-10-16,16.244,102.2805,19935.205,128281.0,86.65,5.33,2.8,4.1,70.5
2023-10-17,16.244,102.2805,19935.205,128281.0,86.66,5.33,2.8,4.1,70.5
2023-10-18,16.244,102.2805,19935.205,128281.0,88.35,5.33,2.8,4.1,70.5
2023-10-19,16.244,102.2805,19935.205,128281.0,89.35,5.33,2.8,4.1,70.5
2023-10-20,16.244,102.2805,19935.205,128281.0,89.12,5.33,2.8,4.1,70.5
2023-10-23,16.244,102.2805,19935.205,128281.0,85.49,5.33,2.8,4.1,70.5
2023-10-24,16.244,102.2805,19935.205,128281.0,84.58,5.33,2.8,4.1,70.5
2023-10-25,16.244,102.2805,19935.205,128281.0,86.07,5.33,2.8,4.1,70.5
2023-10-26,16.244,102.2805,19935.205,128281.0,83.8,5.33,2.8,4.1,70.5
2023-10-27,16.244,102.2805,19935.205,128281.0,86.04,5.33,2.8,4.1,70.5
2023-10-30,16.244,102.2805,19935.205,128281.0,83.03,5.33,2.8,4.1,70.5
2023-10-31,16.244,102.2805,19935.205,128281.0,81.64,5.33,2.8,4.1,70.5
2023-11-02,16.244,102.2805,19935.205,128281.0,83.04,5.33,2.8,4.1,70.5
2023-11-03,16.244,102.2805,19935.205,128281.0,81.19,5.33,2.8,4.1,70.5
2023-11-06,16.244,102.2805,19935.205,128281.0,81.54,5.33,2.8,4.1,70.5
2023-11-07,16.244,102.2805,19935.205,128281.0,77.96,5.33,2.8,4.1,70.5
2023-11-08,16.244,102.2805,19935.205,128281.0,75.85,5.33,2.8,4.1,70.5
2023-11-09,16.244,102.2805,19935.205,128281.0,76.34,5.33,2.8,4.1,70.5
2023-11-10,16.244,102.2805,19935.205,128281.0,76.34,5.33,2.8,4.1,70.5
2023-11-13,16.244,102.2805,19935.205,128281.0,78.86,5.33,2.8,4.1,70.5
2023-11-14,16.244,102.2805,19935.205,128281.0,78.9,5.33,2.8,4.1,70.5
2023-11-15,16.244,102.2805,19935.205,128281.0,77.15,5.33,2.8,4.1,70.5
2023-11-16,16.244,102.2805,19935.205,128281.0,73.5,5.33,2.8,4.1,70.5
2023-11-17,16.244,102.2805,19935.205,128281.0,76.47,5.33,2.8,4.1,70.5
2023-11-20,16.244,102.2805,19935.205,128281.0,78.1,5.33,2.8,4.1,70.5
2023-11-21,16.244,102.2805,19935.205,128281.0,78.35,5.33,2.8,4.1,70.5
2023-11-22,16.244,102.2805,19935.205,128281.0,76.8,5.33,2.8,4.1,70.5
2023-11-23,16.244,102.2805,19935.205,128281.0,76.8,5.33,2.8,4.1,70.5
2023-11-24,16.244,102.2805,19935.205,128281.0,74.83,5.33,2.8,4.1,70.5
2023-11-27,16.244,102.2805,19935.205,128281.0,74.46,5.33,2.8,4.1,70.5
2023-11-28,16.244,102.2805,19935.205,128281.0,76.09,5.33,2.8,4.1,70.5
2023-11-29,16.244,102.2805,19935.205,128281.0,77.56,5.33,2.8,4.1,70.5
2023-11-30,16.244,102.2805,19935.205,128281.0,75.66,5.33,2.8,4.1,70.5
2023-12-04,16.244,102.2805,19935.205,128281.0,72.73,5.33,2.8,4.1,70.5
2023-12-05,16.244,102.2805,19935.205,128281.0,71.95,5.33,2.8,4.1,70.5
2023-12-06,16.244,102.2805,19935.205,128281.0,68.98,5.33,2.8,4.1,70.5
2023-12-07,16.244,102.2805,19935.205,128281.0,69.0,5.33,2.8,4.1,70.5
2023-12-08,16.244,102.2805,19935.205,128281.0,70.87,5.33,2.8,4.1,70.5
2023-12-11,16.244,102.2805,19935.205,128281.0,70.95,5.33,2.8,4.1,70.5
2023-12-12,16.244,102.2805,19935.205,128281.0,68.27,5.33,2.8,4.1,70.5
2023-12-13,16.244,102.2805,19935.205,128281.0,69.09,5.33,2.8,4.1,70.5
2023-12-14,16.244,102.2805,19935.205,128281.0,71.21,5.33,2.8,4.1,70.5
2023-12-15,16.244,102.2805,19935.205,128281.0,71.05,5.33,2.8,4.1,70.5
2023-12-18,16.244,102.2805,19935.205,128281.0,72.16,5.33,2.8,4.1,70.5
2023-12-19,16.244,102.2805,19935.205,128281.0,73.23,5.33,2.8,4.1,70.5
2023-12-20,16.244,102.2805,19935.205,128281.0,73.87,5.33,2.8,4.1,70.5
2023-12-21,16.244,102.2805,19935.205,128281.0,73.59,5.33,2.8,4.1,70.5
2023-12-22,16.244,102.2805,19935.205,128281.0,73.29,5.33,2.8,4.1,70.5
2023-12-25,16.244,102.2805,19935.205,128281.0,73.29,5.33,2.8,4.1,70.5
2023-12-26,16.244,102.2805,19935.205,128281.0,75.84,5.33,2.8,4.1,70.5
2023-12-27,16.244,102.2805,19935.205,128281.0,74.31,5.33,2.8,4.1,70.5
2023-12-28,16.244,102.2805,19935.205,128281.0,72.02,5.33,2.8,4.1,70.5
2023-12-29,16.244,102.2805,19935.205,128281.0,71.89,5.33,2.8,4.1,70.5
2024-01-02,16.244,102.2805,19935.205,128281.0,70.62,5.33,2.8,4.1,70.5
2024-01-03,16.244,102.2805,19935.205,128281.0,72.97,5.33,2.8,4.1,70.5
2024-01-04,16.244,102.2805,19935.205,128281.0,72.38,5.33,2.8,4.1,70.5
2024-01-05,16.244,102.2805,19935.205,128281.0,74.0,5.33,2.8,4.1,70.5
2024-01-08,16.244,102.2805,19935.205,128281.0,71.06,5.33,2.8,4.1,70.5
2024-01-09,16.244,102.2805,19935.205,128281.0,72.43,5.33,2.8,4.1,70.5
2024-01-10,16.244,102.2805,19935.205,128281.0,71.57,5.33,2.8,4.1,70.5
2024-01-11,16.244,102.2805,19935.205,128281.0,72.15,5.33,2.8,4.1,70.5
2024-01-12,16.244,102.2805,19935.205,128281.0,72.94,5.33,2.8,4.1,70.5
