Date,pharmaceutical_prices,unemployment_rate,interest_rate,gdp_growth,consumer_sentiment,m2_money_supply
2022-11-05,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-06,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-07,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-08,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-09,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-10,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-11,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-12,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-13,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-14,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-15,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-16,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-17,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-18,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-19,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-20,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-21,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-22,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-23,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-24,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-25,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-26,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-27,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-28,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-29,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-30,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-02,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-03,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-04,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-05,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-06,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-07,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-08,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-09,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-10,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-11,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-12,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-13,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-14,281.741,4.1,3.83,2.8,70.5,21221.2
2022-12-15,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-16,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-17,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-18,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-19,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-20,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-21,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-22,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-23,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-24,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-25,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-26,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-27,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-28,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-29,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-30,281.741,4.1,4.33,2.8,70.5,21221.2
2022-12-31,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-02,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-03,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-04,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-05,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-06,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-07,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-08,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-09,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-10,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-11,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-12,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-13,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-14,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-15,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-16,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-17,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-18,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-19,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-20,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-21,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-22,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-23,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-24,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-25,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-26,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-27,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-28,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-29,281.741,4.1,4.33,2.8,70.5,21221.2
