Date,business_investment,software_spending,corporate_earnings,interest_rate,gdp_growth,industrial_production,m2_money_supply,consumer_sentiment
2022-08-21,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-22,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-23,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-24,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-25,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-26,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-27,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-28,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-29,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-30,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-31,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-02,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-03,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-04,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-05,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-06,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-07,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-08,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-09,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-10,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-11,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-12,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-13,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-14,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-15,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-16,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-17,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-18,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-19,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-20,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-21,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-09-22,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-09-23,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-09-24,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-09-25,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-09-26,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-09-27,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-09-28,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-09-29,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-09-30,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-02,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-03,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-04,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-05,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-06,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-07,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-08,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-09,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-10,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-11,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-12,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-13,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-14,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-15,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
