level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,industrial_production_mom,m2_money_supply_mom,consumer_sentiment_mom,daily_sentiment_score
96,96,2022-07-19,69.93976593017578,0.028503171456922195,70.23989802123903,68.64738159179687,67.46909205118816,68.45129070995921,0.013308295508074382,69.9818129834649,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
97,97,2022-07-20,70.27861785888672,0.004833212010922107,69.85262884872247,68.768310546875,67.46731338500976,68.7835320097642,0.01321786730539561,69.11908284809263,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
98,98,2022-07-21,72.1665267944336,0.02650872367188825,72.4376136068667,69.0616439819336,67.53746109008789,69.39862197061318,0.01537472760955164,72.76934659428616,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
99,99,2022-07-22,72.51506805419922,0.004818054907025384,72.70869720443045,69.3859764099121,67.66131490071615,69.96524853126517,0.015323047732464476,71.08954133633169,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,100,2022-07-25,72.4763412475586,-0.0005341945119101424,72.41824606050997,69.70450134277344,67.85327479044597,70.42181084331853,0.015350525517183545,67.28800445443429,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101,2022-07-26,71.67276000976562,-0.011149421746955634,72.01163153258616,70.05497360229492,68.08527552286783,70.6492561463089,0.014638938723206174,63.81968321851929,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
102,102,2022-07-27,73.45419311523438,0.02455122977533085,73.23149849695248,70.62037963867188,68.47593383789062,71.15924468611354,0.01531864832113694,69.12229378352204,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.999999999999996
103,103,2022-07-28,74.58692169189453,0.01530319038692201,74.55788429560083,71.35521240234375,68.69005406697592,71.78245868716462,0.014309269155302963,71.90735573152608,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333
104,104,2022-07-29,75.3614501953125,0.010330694251723546,74.72246650307417,72.04260482788087,68.96276321411133,72.43318441591877,0.014030759536591782,73.5536896499868,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,105,2022-08-01,74.97418975830078,-0.005151955899576887,74.53851268799916,72.74258346557617,69.25437037150066,72.89518538726095,0.013727017830465737,78.00788657398687,,,,,,,,,50.0
